,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
10,34219290,09/01/2016 12:00:00 AM,09/11/2016 04:40:40 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,11210.0,844 EAST   34 STREET,EAST   34 STREET,FARRAGUT ROAD,GLENWOOD ROAD,,,ADDRESS,BROOKLYN,,,Closed,10/01/2016 05:33:51 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/11/2016 04:40:40 PM,17 BROOKLYN,BROOKLYN,999774.0,170843.0,Unspecified,BROOKLYN,,,,,,,,40.635587545417046,-73.94406747537333,"(40.63558754541705, -73.94406747537333)"
11,34219296,09/01/2016 12:00:00 AM,09/07/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Other (Explain Below),10065.0,301 EAST   66 STREET,EAST   66 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,,Closed,10/01/2016 04:05:46 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/07/2016 12:00:00 AM,08 MANHATTAN,MANHATTAN,995112.0,217933.0,Unspecified,MANHATTAN,,,,,,,,40.7648454916919,-73.96078857711855,"(40.76484549169191, -73.96078857711855)"
12,34219301,09/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Vacant Building,10314.0,6 SOMMERS LANE,SOMMERS LANE,VICTORY BOULEVARD,WINDSOR ROAD,,,ADDRESS,STATEN ISLAND,,,Closed,10/01/2016 10:21:31 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/01/2016 10:28:51 AM,01 STATEN ISLAND,STATEN ISLAND,950752.0,162609.0,Unspecified,STATEN ISLAND,,,,,,,,40.6129372234961,-74.12065140728478,"(40.61293722349609, -74.12065140728478)"
13,34219302,09/01/2016 12:00:00 AM,09/02/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,10024.0,,,,,BROADWAY,WEST 81 STREET,INTERSECTION,NEW YORK,,,Closed,10/01/2016 07:11:35 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/02/2016 12:00:00 AM,07 MANHATTAN,MANHATTAN,990065.0,225331.0,Unspecified,MANHATTAN,,,,,,,,40.78515581987176,-73.97900165965612,"(40.78515581987176, -73.97900165965613)"
14,34219303,09/01/2016 12:00:00 AM,09/10/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11201.0,250 JAY STREET,JAY STREET,CHAPEL STREET,CATHEDRAL PLACE,,,ADDRESS,BROOKLYN,,,Closed,10/01/2016 07:46:37 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/10/2016 12:00:00 AM,02 BROOKLYN,BROOKLYN,987836.0,193178.0,Unspecified,BROOKLYN,,,,,,,,40.69690503039127,-73.98706786339893,"(40.69690503039127, -73.98706786339893)"
15,34219304,09/01/2016 12:00:00 AM,09/19/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11238.0,50 PLAZA STREET EAST,PLAZA STREET EAST,,,,,LATLONG,BROOKLYN,,,Closed,10/01/2016 04:54:14 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/19/2016 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,992892.0,185194.0,Unspecified,BROOKLYN,,,,,,,,40.674987285612545,-73.96884473002521,"(40.67498728561255, -73.9688447300252)"
16,34219308,09/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10029.0,1839 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 112 STREET,EAST 115 STREET,,,ADDRESS,NEW YORK,,,Closed,10/01/2016 10:31:55 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/01/2016 10:37:00 PM,11 MANHATTAN,MANHATTAN,1000103.0,229676.0,Unspecified,MANHATTAN,,,,,,,,40.79706936758712,-73.94274354523023,"(40.79706936758712, -73.94274354523024)"
17,34219313,09/01/2016 12:00:00 AM,09/08/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11379.0,69-80 JUNIPER BOULEVARD,JUNIPER BOULEVARD,69 LANE,70 STREET,,,ADDRESS,Middle Village,,,Closed,10/01/2016 09:52:39 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/08/2016 12:00:00 AM,05 QUEENS,QUEENS,1016008.0,200502.0,Unspecified,QUEENS,,,,,,,,40.71695140651701,-73.88543713477206,"(40.716951406517005, -73.88543713477206)"
18,34219314,09/01/2016 12:00:00 AM,09/10/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11357.0,151-37 18 AVENUE,18 AVENUE,MURRAY STREET,154 STREET,,,ADDRESS,Whitestone,,,Closed,10/01/2016 06:00:03 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/10/2016 12:00:00 AM,07 QUEENS,QUEENS,1036510.0,224420.0,Unspecified,QUEENS,,,,,,,,40.782502777229645,-73.8112931418738,"(40.78250277722964, -73.81129314187379)"
19,34219315,09/01/2016 12:00:00 AM,10/20/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Catch Basin/Sewer,11357.0,,,154 STREET,18 AVENUE,154 STREET,18 AVENUE,INTERSECTION,Whitestone,,,Closed,10/01/2016 09:19:58 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/20/2016 12:00:00 AM,07 QUEENS,QUEENS,1037256.0,224341.0,Unspecified,QUEENS,,,,,,,,40.78228150124942,-73.80860002481171,"(40.78228150124942, -73.80860002481171)"
20,34219713,09/01/2016 12:00:00 AM,09/04/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11226.0,760 ROGERS AVENUE,ROGERS AVENUE,LENOX ROAD,LINDEN BOULEVARD,,,ADDRESS,BROOKLYN,,,Closed,10/01/2016 10:43:53 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/04/2016 12:00:00 AM,17 BROOKLYN,BROOKLYN,997377.0,177054.0,Unspecified,BROOKLYN,,,,,,,,40.65263927733046,-73.95269170983792,"(40.65263927733046, -73.95269170983792)"
21,34219724,09/01/2016 12:00:00 AM,09/03/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11355.0,44-15 COLDEN STREET,COLDEN STREET,,,,,LATLONG,FLUSHING,,,Closed,10/01/2016 06:00:51 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/03/2016 12:00:00 AM,Unspecified QUEENS,QUEENS,1033091.0,213143.0,Unspecified,QUEENS,,,,,,,,40.751569952555116,-73.82372079945384,"(40.75156995255512, -73.82372079945384)"
24,34219993,09/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,10452.0,911 WALTON AVENUE,WALTON AVENUE,EAST 161 STREET,EAST 164 STREET,,,ADDRESS,BRONX,,,Closed,10/01/2016 12:12:08 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/01/2016 12:19:41 PM,04 BRONX,BRONX,1005451.0,241092.0,Unspecified,BRONX,,,,,,,,40.82839188108052,-73.92339206459455,"(40.82839188108052, -73.92339206459454)"
25,34219994,09/01/2016 12:00:00 AM,09/08/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,1-2 Family Mixed Use Building,10463.0,3459 FORT INDEPENDENCE STREET,FORT INDEPENDENCE STREET,BEND,ORLOFF AVENUE,,,ADDRESS,BRONX,,,Closed,10/01/2016 06:10:57 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/08/2016 12:00:00 AM,08 BRONX,BRONX,1012213.0,260529.0,Unspecified,BRONX,,,,,,,,40.881721790822574,-73.89887711720979,"(40.881721790822574, -73.89887711720979)"
26,34219999,09/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10456.0,1420 CLAY AVENUE,CLAY AVENUE,EAST 170 STREET,EAST 171 STREET,,,ADDRESS,BRONX,,,Closed,10/01/2016 10:10:13 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/01/2016 10:17:26 PM,04 BRONX,BRONX,1009792.0,244407.0,Unspecified,BRONX,,,,,,,,40.83747910996361,-73.90769363386275,"(40.83747910996361, -73.90769363386275)"
27,34220172,09/01/2016 12:00:00 AM,10/05/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,10305.0,34 KRAMER STREET,KRAMER STREET,,,,,LATLONG,STATEN ISLAND,,,Closed,10/01/2016 11:52:13 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/05/2016 12:00:00 AM,Unspecified STATEN ISLAND,STATEN ISLAND,962859.0,156907.0,Unspecified,STATEN ISLAND,,,,,,,,40.597323902349856,-74.07702699503966,"(40.59732390234986, -74.07702699503966)"
28,34220187,09/01/2016 12:00:00 AM,09/12/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,10308.0,96 CRANFORD STREET,CRANFORD STREET,O&apos;GORMAN AVENUE,DURANT AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,10/01/2016 10:29:03 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/12/2016 12:00:00 AM,03 STATEN ISLAND,STATEN ISLAND,945615.0,140332.0,Unspecified,STATEN ISLAND,,,,,,,,40.55177043984348,-74.13902622249374,"(40.55177043984348, -74.13902622249373)"
29,34220196,09/01/2016 12:00:00 AM,09/09/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10001.0,1149 BROADWAY,BROADWAY,WEST 26 STREET,WEST 27 STREET,,,ADDRESS,NEW YORK,,,Closed,10/01/2016 11:10:54 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/09/2016 12:00:00 AM,05 MANHATTAN,MANHATTAN,987310.0,210386.0,Unspecified,MANHATTAN,,,,,,,,40.744137037806546,-73.98895694579417,"(40.744137037806546, -73.98895694579417)"
30,34220197,09/01/2016 12:00:00 AM,09/07/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11433.0,178-33 107 AVENUE,107 AVENUE,RUSCOE STREET,DEAD END,,,ADDRESS,Jamaica,,,Closed,10/01/2016 09:26:19 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/07/2016 12:00:00 AM,12 QUEENS,QUEENS,1045581.0,195127.0,Unspecified,QUEENS,,,,,,,,40.70204276755512,-73.77880567900449,"(40.70204276755512, -73.7788056790045)"
31,34220198,09/01/2016 12:00:00 AM,09/26/2016 03:46:44 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11379.0,,,JUNIPER BLVD SOUTH,70 STREET,JUNIPER BLVD SOUTH,70 STREET,INTERSECTION,Middle Village,,,Closed,10/01/2016 11:57:31 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/26/2016 03:46:44 PM,Unspecified QUEENS,QUEENS,1016117.0,200572.0,Unspecified,QUEENS,,,,,,,,40.717143147617456,-73.88504360047884,"(40.71714314761746, -73.88504360047885)"
32,34220199,09/01/2016 12:00:00 AM,09/10/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11206.0,HART STREET,HART STREET,NOSTRAND AVENUE,MARCY AVENUE,,,BLOCKFACE,BROOKLYN,,,Closed,10/01/2016 12:29:30 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/10/2016 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,998002.0,191752.0,Unspecified,BROOKLYN,,,,,,,,40.69298103320097,-73.95040929033783,"(40.69298103320097, -73.95040929033783)"
33,34220235,09/01/2016 12:00:00 AM,09/12/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10462.0,1995 BIRCHALL AVENUE,BIRCHALL AVENUE,SAGAMORE STREET,WHITE PLAINS ROAD,,,ADDRESS,BRONX,,,Closed,10/01/2016 08:32:11 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/12/2016 12:00:00 AM,11 BRONX,BRONX,1020740.0,248779.0,Unspecified,BRONX,,,,,,,,40.84944050577703,-73.86810486072861,"(40.849440505777025, -73.86810486072861)"
34,34220238,09/01/2016 12:00:00 AM,09/30/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11217.0,700 PACIFIC ST,PACIFIC ST,,,,,LATLONG,BROOKLYN,,,Closed,10/01/2016 07:46:54 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/30/2016 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,991965.0,187584.0,Unspecified,BROOKLYN,,,,,,,,40.681548151042755,-73.97218392100494,"(40.68154815104276, -73.97218392100494)"
35,34220239,09/01/2016 12:00:00 AM,09/18/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11238.0,,,,,CLASSON AVENUE,QUINCY STREET,INTERSECTION,BROOKLYN,,,Closed,10/01/2016 02:01:56 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/18/2016 12:00:00 AM,02 BROOKLYN,BROOKLYN,995504.0,189189.0,Unspecified,BROOKLYN,,,,,,,,40.68594971751218,-73.95942153955151,"(40.68594971751218, -73.95942153955151)"
38,34220666,09/01/2016 12:00:00 AM,09/08/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11373.0,86-10 57 ROAD,57 ROAD,VAN HORN STREET,SEABURY STREET,,,ADDRESS,Elmhurst,,,Closed,10/01/2016 04:47:03 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/08/2016 12:00:00 AM,04 QUEENS,QUEENS,1018762.0,206025.0,Unspecified,QUEENS,,,,,,,,40.7321003718444,-73.87547412717656,"(40.73210037184441, -73.87547412717657)"
41,34221005,09/01/2016 12:00:00 AM,09/07/2016 09:25:23 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11213.0,363 NEW YORK AVENUE,NEW YORK AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,10/01/2016 10:43:54 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/07/2016 09:25:23 AM,Unspecified BROOKLYN,BROOKLYN,998746.0,182193.0,Unspecified,BROOKLYN,,,,,,,,40.66674256323859,-73.9477469351212,"(40.66674256323859, -73.9477469351212)"
42,34221173,09/01/2016 12:00:00 AM,09/22/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,11379.0,64-56 DRY HARBOR ROAD,DRY HARBOR ROAD,64 ROAD,80 STREET,,,ADDRESS,Middle Village,,,Closed,10/01/2016 10:58:08 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/22/2016 12:00:00 AM,05 QUEENS,QUEENS,1019551.0,201063.0,Unspecified,QUEENS,,,,,,,,40.71847778749173,-73.872653296934,"(40.71847778749173, -73.872653296934)"
43,34221215,09/01/2016 12:00:00 AM,09/15/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,11232.0,201A 34TH STREET,34TH STREET,,,,,LATLONG,BROOKLYN,,,Closed,10/01/2016 09:38:10 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/15/2016 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,983610.0,177961.0,Unspecified,BROOKLYN,,,,,,,,40.655138500678326,-74.00230657716874,"(40.655138500678326, -74.00230657716874)"
45,34221255,09/01/2016 12:00:00 AM,09/20/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11209.0,8904 5 AVENUE,5 AVENUE,89 STREET,90 STREET,,,ADDRESS,BROOKLYN,,,Closed,10/01/2016 03:48:40 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/20/2016 12:00:00 AM,10 BROOKLYN,BROOKLYN,976529.0,165033.0,Unspecified,BROOKLYN,,,,,,,,40.61965055710376,-74.02781189708239,"(40.61965055710376, -74.02781189708239)"
46,34221256,09/01/2016 12:00:00 AM,09/07/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10468.0,2715 GRAND CONCOURSE,GRAND CONCOURSE,EAST KINGSBRIDGE ROAD,EAST 196 STREET,,,ADDRESS,BRONX,,,Closed,10/01/2016 11:06:44 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/07/2016 12:00:00 AM,07 BRONX,BRONX,1013756.0,255342.0,Unspecified,BRONX,,,,,,,,40.867480059467404,-73.89332000002392,"(40.867480059467404, -73.89332000002392)"
